X,Y,cat,ID,rues_ori,bati_ori
603668.9,130265.2,554,553,1.609641000000000,1.730582000000000
603843.9,130265.2,555,554,1.621319000000000,1.747763000000000
604018.9,130265.2,556,555,1.631319000000000,1.761514000000000
604193.9,130265.2,557,556,1.640054000000000,1.772713000000000
604368.9,130265.2,558,557,1.647754000000000,1.781998000000000
604543.9,130265.2,559,558,1.654552000000000,1.789785000000000
604718.9,130265.2,560,559,1.660572000000000,1.796396000000000
604893.9,130265.2,561,560,1.665931000000000,1.802050000000000
596143.9,130090.2,562,561,1.803167000000000,1.851934000000000
596318.9,130090.2,563,562,1.811931000000000,1.854294000000000
596493.9,130090.2,564,563,1.821749000000000,1.858083000000000
596668.9,130090.2,565,564,1.831674000000000,1.863982000000000
596843.9,130090.2,566,565,1.840239000000000,1.872974000000000
597018.9,130090.2,567,566,1.844743000000000,1.886515000000000
597193.9,130090.2,568,567,1.837983000000000,1.906443000000000
597368.9,130090.2,569,568,1.793605000000000,1.933970000000000
597543.9,130090.2,570,569,1.622677000000000,1.967742000000000
597718.9,130090.2,571,570,1.736719000000000,2.009452000000000
597893.9,130090.2,572,571,1.805431000000000,2.086112000000000
598068.9,130090.2,573,572,2.011644000000000,2.159930000000000
598243.9,130090.2,574,573,2.407463000000000,2.064772000000000
598418.9,130090.2,575,574,2.543485000000000,1.984704000000000
598593.9,130090.2,576,575,2.419874000000000,1.960123000000000
598768.9,130090.2,577,576,2.179580000000000,1.953836000000000
598943.9,130090.2,578,577,2.463359000000000,1.942064000000000
599118.9,130090.2,579,578,1.747065000000000,1.914285000000000
599293.9,130090.2,580,579,1.518316000000000,1.876069000000000
599468.9,130090.2,581,580,1.431979000000000,1.833766000000000
599643.9,130090.2,582,581,1.364978000000000,1.800683000000000
599818.9,130090.2,583,582,1.304746000000000,1.823485000000000
599993.9,130090.2,584,583,1.394735000000000,1.972705000000000
600168.9,130090.2,585,584,1.700486000000000,2.015692000000000
600343.9,130090.2,586,585,1.426909000000000,1.754164000000000
600518.9,130090.2,587,586,1.556074000000000,1.676969000000000
600693.9,130090.2,588,587,1.598282000000000,1.611618000000000
600868.9,130090.2,589,588,1.257973000000000,1.471575000000000
601043.9,130090.2,590,589,1.314247000000000,1.185528000000000
601218.9,130090.2,591,590,2.121444000000000,1.057150000000000
601393.9,130090.2,592,591,1.316100000000000,1.372151000000000
601568.9,130090.2,593,592,1.251750000000000,1.570495000000000
601743.9,130090.2,594,593,1.315434000000000,1.613647000000000
601918.9,130090.2,595,594,1.333541000000000,1.537614000000000
602093.9,130090.2,596,595,1.025042000000000,1.420239000000000
602268.9,130090.2,597,596,1.229773000000000,1.355092000000000
602443.9,130090.2,598,597,1.251721000000000,1.383643000000000
602618.9,130090.2,599,598,0.800920000000000,1.464395000000000
602793.9,130090.2,600,599,1.176726000000000,1.542510000000000
602968.9,130090.2,601,600,1.480520000000000,1.604805000000000
603143.9,130090.2,602,601,1.562807000000000,1.651872000000000
603318.9,130090.2,603,602,1.589962000000000,1.687239000000000
603493.9,130090.2,604,603,1.604800000000000,1.714188000000000
603668.9,130090.2,605,604,1.616592000000000,1.735123000000000
603843.9,130090.2,606,605,1.627090000000000,1.751716000000000
604018.9,130090.2,607,606,1.636513000000000,1.765072000000000
604193.9,130090.2,608,607,1.644919000000000,1.776002000000000
604368.9,130090.2,609,608,1.652352000000000,1.785068000000000
604543.9,130090.2,610,609,1.658910000000000,1.792663000000000
604718.9,130090.2,611,610,1.664703000000000,1.799100000000000
604893.9,130090.2,612,611,1.669824000000000,1.804607000000000
596143.9,129915.2,613,612,1.795061000000000,1.845833000000000
596318.9,129915.2,614,613,1.806362000000000,1.846626000000000
596493.9,129915.2,615,614,1.819768000000000,1.848346000000000
596668.9,129915.2,616,615,1.833946000000000,1.851445000000000
596843.9,129915.2,617,616,1.847422000000000,1.856478000000000
597018.9,129915.2,618,617,1.858401000000000,1.864128000000000
597193.9,129915.2,619,618,1.864374000000000,1.875130000000000
597368.9,129915.2,620,619,1.862389000000000,1.889817000000000
597543.9,129915.2,621,620,1.860069000000000,1.908184000000000
597718.9,129915.2,622,621,1.880638000000000,1.930679000000000
597893.9,129915.2,623,622,1.876453000000000,1.956129000000000
598068.9,129915.2,624,623,1.596724000000000,1.971310000000000
598243.9,129915.2,625,624,2.104552000000000,1.966791000000000
598418.9,129915.2,626,625,2.319940000000000,1.964384000000000
598593.9,129915.2,627,626,2.193150000000000,1.979024000000000
598768.9,129915.2,628,627,2.076921000000000,2.006323000000000
598943.9,129915.2,629,628,1.867132000000000,2.009765000000000
599118.9,129915.2,630,629,1.700967000000000,1.946003000000000
599293.9,129915.2,631,630,1.492718000000000,1.848825000000000
599468.9,129915.2,632,631,1.406041000000000,1.788010000000000
599643.9,129915.2,633,632,1.262045000000000,1.744324000000000
599818.9,129915.2,634,633,0.878298000000000,1.723085000000000
599993.9,129915.2,635,634,1.028818000000000,1.846375000000000
600168.9,129915.2,636,635,1.294865000000000,1.673287000000000
600343.9,129915.2,637,636,1.251194000000000,1.613286000000000
600518.9,129915.2,638,637,1.278588000000000,1.632775000000000
600693.9,129915.2,639,638,1.316386000000000,1.598823000000000
600868.9,129915.2,640,639,1.052677000000000,1.423976000000000
601043.9,129915.2,641,640,0.854012000000000,0.863048000000000
601218.9,129915.2,642,641,0.810558000000000,0.327069000000000
601393.9,129915.2,643,642,0.542326000000000,1.254515000000000
601568.9,129915.2,644,643,0.987513000000000,1.516977000000000
601743.9,129915.2,645,644,1.321525000000000,1.584844000000000
601918.9,129915.2,646,645,1.321558000000000,1.573257000000000
602093.9,129915.2,647,646,1.291619000000000,1.528795000000000
602268.9,129915.2,648,647,1.316807000000000,1.497898000000000
602443.9,129915.2,649,648,1.302326000000000,1.508288000000000
602618.9,129915.2,650,649,1.024008000000000,1.548056000000000
602793.9,129915.2,651,650,1.435008000000000,1.595091000000000
602968.9,129915.2,652,651,1.662430000000000,1.638022000000000
603143.9,129915.2,653,652,1.638005000000000,1.673725000000000
603318.9,129915.2,654,653,1.621436000000000,1.702474000000000
603493.9,129915.2,655,654,1.621399000000000,1.725494000000000
603668.9,129915.2,656,655,1.627859000000000,1.743999000000000
603843.9,129915.2,657,656,1.636201000000000,1.759003000000000
604018.9,129915.2,658,657,1.644571000000000,1.771283000000000
604193.9,129915.2,659,658,1.652299000000000,1.781447000000000
604368.9,129915.2,660,659,1.659183000000000,1.789917000000000
604543.9,129915.2,661,660,1.665230000000000,1.797038000000000
604718.9,129915.2,662,661,1.670549000000000,1.803080000000000
604893.9,129915.2,663,662,1.675243000000000,1.808245000000000
596143.9,129740.2,664,663,1.781122000000000,1.840246000000000
596318.9,129740.2,665,664,1.795402000000000,1.839561000000000
596493.9,129740.2,666,665,1.813379000000000,1.839384000000000
596668.9,129740.2,667,666,1.832889000000000,1.839983000000000
596843.9,129740.2,668,667,1.852028000000000,1.841734000000000
597018.9,129740.2,669,668,1.869576000000000,1.845082000000000
597193.9,129740.2,670,669,1.884927000000000,1.850555000000000
597368.9,129740.2,671,670,1.898668000000000,1.858592000000000
597543.9,129740.2,672,671,1.913714000000000,1.869639000000000
597718.9,129740.2,673,672,1.931560000000000,1.883940000000000
597893.9,129740.2,674,673,1.944763000000000,1.900649000000000
598068.9,129740.2,675,674,1.954142000000000,1.917484000000000
598243.9,129740.2,676,675,2.084466000000000,1.934876000000000
598418.9,129740.2,677,676,2.250072000000000,1.959276000000000
598593.9,129740.2,678,677,2.045930000000000,2.002556000000000
598768.9,129740.2,679,678,2.046026000000000,2.090793000000000
598943.9,129740.2,680,679,1.752719000000000,2.179571000000000
599118.9,129740.2,681,680,1.705438000000000,1.965139000000000
599293.9,129740.2,682,681,1.457912000000000,1.740499000000000
599468.9,129740.2,683,682,1.301525000000000,1.779408000000000
599643.9,129740.2,684,683,1.220405000000000,1.681859000000000
599818.9,129740.2,685,684,0.871631000000000,1.580411000000000
599993.9,129740.2,686,685,0.961471000000000,1.296820000000000
600168.9,129740.2,687,686,1.217577000000000,0.920383000000000
600343.9,129740.2,688,687,1.059237000000000,1.469720000000000
600518.9,129740.2,689,688,1.061672000000000,1.614031000000000
600693.9,129740.2,690,689,1.298294000000000,1.627445000000000
600868.9,129740.2,691,690,1.180366000000000,1.504163000000000
601043.9,129740.2,692,691,0.951754000000000,1.120137000000000
601218.9,129740.2,693,692,0.877493000000000,1.087149000000000
